genome,domain,phylum,class,order,family,genus,species,completeness,contamination,length
JPB:bin_000083,d__Bacteria,p__Bacillota,c__Bacilli,o__Acholeplasmatales,f__Anaeroplasmataceae,g__Anaeroplasma,s__,99.17,1.77,2321087
JPB:bin_000084,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__RF16,s__RF16 sp016302585,99.84,0.11,2154345
JPB:bin_000085,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__F23-B02,s__F23-B02 sp004557075,99.29,0.47,2212711
JPB:bin_000086,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Butyrivibrio_A,s__Butyrivibrio_A crossotus,99.99,0.49,2202431
JPB:bin_000087,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae_A,g__Mesosutterella,s__Mesosutterella sp902797695,96.98,1.24,2207263
JPB:bin_000088,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__P3,g__Onthomorpha,s__Onthomorpha sp004551865,96.27,0.12,2177110
JPB:bin_000089,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Vescimonas,s__Vescimonas sp900313295,98.35,8.4,2290593
JPB:bin_000090,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Vescimonas,s__Vescimonas sp945877515,99.98,0.04,2178283
JPB:bin_000091,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Treponematales,f__Treponemataceae,g__Treponema_D,s__Treponema_D sp002395155,93.48,0.49,2547295
JPB:bin_000092,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__UBA1712,s__UBA1712 sp018056665,99.55,0.32,2157992
JPB:bin_000093,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Vescimonas,s__Vescimonas sp900556015,97.76,0.14,2344413
JPB:bin_000094,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Treponematales,f__Treponemataceae,g__Treponema_D,s__Treponema_D sp017381365,96.86,1.47,2530748
JPB:bin_000095,d__Bacteria,p__Verrucomicrobiota,c__Lentisphaeria,o__UBA1407,f__UBA1407,g__UBA1724,s__UBA1724 sp900548225,93.72,0.69,2248288
JPB:bin_000096,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Treponematales,f__Treponemataceae,g__Treponema_D,s__Treponema_D sp018385315,95.05,0.16,2522260
JPB:bin_000098,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Limivicinus,s__Limivicinus sp900549645,95.97,0.02,2275213
JPB:bin_000099,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__SFIE01,s__SFIE01 sp004555405,98.08,0.1,2312750
JPB:bin_000100,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Vescimonas,s__Vescimonas sp900757415,98.18,3.61,2331221
JPB:bin_000101,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Weimeria,s__Weimeria sp900317825,97.2,0,2095619
JPB:bin_000103,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__RF16,s__,99.81,0.03,2362395
JPB:bin_000105,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Faecousia,s__,100,0.61,2153388
JPB:bin_000106,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__CAG-194,s__CAG-194 sp000432915,97.39,0.3,2265800
JPB:bin_000107,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__RF32,f__CAG-977,g__UBA11549,s__UBA11549 sp900550445,99.05,0.78,2341620
JPB:bin_000108,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Butyricicoccaceae,g__RGIG1902,s__,97.19,0.64,2294221
JPB:bin_000109,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-103,s__CAG-103 sp900317855,97.9,7.31,2124919
JPB:bin_000110,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__CAG-238,s__CAG-238 sp000435615,96.82,1.75,2321879
JPB:bin_000111,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Limivicinus,s__Limivicinus sp003150355,96.28,0.04,2157013
JPB:bin_000112,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__CAG-1024,s__CAG-1024 sp000432015,98.09,0.13,2106447
JPB:bin_000113,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospira,s__Lachnospira sp900772425,95.34,0.13,2416945
JPB:bin_000114,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Eubacterium_R,s__,98.34,0.65,2248051
JPB:bin_000115,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__RGIG3159,s__,94.91,6.97,2207435
JPB:bin_000116,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Faecousia,s__Faecousia sp022774865,98.71,1.3,2411714
JPB:bin_000117,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Ruminococcus_E,s__Ruminococcus_E sp902766885,99.99,0.71,2526818
JPB:bin_000118,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__CAG-115,s__CAG-115 sp022766825,99.97,7.15,2528982
JPB:bin_000119,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Treponematales,f__Treponemataceae,g__Treponema_D,s__Treponema_D sp018385415,93.46,1.02,2568280
JPB:bin_000120,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__Aphodosoma,s__Aphodosoma sp900769035,98.24,0.22,2562688
JPB:bin_000121,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__RUG708,s__RUG708 sp900321625,98.01,0.98,2325921
JPB:bin_000122,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Limivicinus,s__Limivicinus sp022782265,98.29,0.72,2596664
JPB:bin_000123,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__CAG-177,s__CAG-177 sp003514385,98.39,0.57,2363504
JPB:bin_000124,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Treponematales,f__Treponemataceae,g__Treponema_D,s__Treponema_D sp016292805,99.83,0.67,2640030
JPB:bin_000125,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__Emergencia,s__Emergencia sp022767945,97.19,1.02,2400616
JPB:bin_000126,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Ornithospirochaeta,s__Ornithospirochaeta sp016302165,93.01,3.24,2372344
JPB:bin_000127,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__UBA6398,s__UBA6398 sp003150315,98.1,0.07,2541021
JPB:bin_000128,d__Bacteria,p__Deferribacterota,c__Deferribacteres,o__Deferribacterales,f__Mucispirillaceae,g__Mucispirillum,s__Mucispirillum sp944324495,95.92,0.62,2700279
JPB:bin_000130,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__ER4,s__ER4 sp003522105,97.59,0.06,2381421
JPB:bin_000132,d__Bacteria,p__Bacillota_C,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Mitsuokella,s__Mitsuokella multacida,99.99,0.05,2328357
JPB:bin_000133,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__RF16,s__RF16 sp022777485,100,0.05,2371376
JPB:bin_000134,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Treponematales,f__Treponemataceae,g__Treponema_D,s__Treponema_D succinifaciens,99.8,0.3,2723705
JPB:bin_000135,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__UBA6382,s__UBA6382 sp022763905,93.6,0.39,2567972
JPB:bin_000137,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__NK4A136,s__,98.85,1.19,2842508
JPB:bin_000138,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Treponematales,f__Treponemataceae,g__Treponema_D,s__Treponema_D sp016293645,99.73,0.32,2796499
JPB:bin_000139,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Alloprevotella,s__Alloprevotella sp004552155,99.93,0.09,2703196
JPB:bin_000140,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__SIG301,s__,96.83,0.53,2679647
JPB:bin_000142,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__MGBC120314,s__,99.99,0.7,2762628
JPB:bin_000144,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium prausnitzii_M,99.98,3.79,2670937
JPB:bin_000146,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger sp004561545,99.88,0.93,2754230
JPB:bin_000147,d__Bacteria,p__Bacillota_C,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__AWVT01,s__,100,0,2772350
JPB:bin_000148,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Faecousia,s__,99.93,1.23,2843118
JPB:bin_000149,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales_A,f__Succinivibrionaceae,g__Succinivibrio,s__Succinivibrio sp000431835,97.34,0.14,2670765
JPB:bin_000150,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Alloprevotella,s__Alloprevotella sp004556745,99.19,0.27,2641057
JPB:bin_000151,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Limivicinus,s__,96.53,0.28,2736306
JPB:bin_000152,d__Bacteria,p__Desulfobacterota,c__Desulfovibrionia,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,s__Desulfovibrio piger,100,0.43,2753185
JPB:bin_000153,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__Limisoma,s__Limisoma sp000437795,99.93,0.07,2550140
JPB:bin_000155,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__UBA2882,s__UBA2882 sp017626095,99.95,1.41,2976244
JPB:bin_000156,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__W0P33-017,s__W0P33-017 sp945828315,96.94,1.22,2643536
JPB:bin_000157,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__CAG-873,s__CAG-873 sp001701165,99.97,0.09,2670825
JPB:bin_000159,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Wujia,s__Wujia sp945492935,100,0.07,2628369
JPB:bin_000160,d__Bacteria,p__Bacillota_C,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__RUG114,s__RUG114 sp900315615,100,0.07,2586869
JPB:bin_000162,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Eubacterium_F,s__,94.69,4.42,2713497
JPB:bin_000163,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__NC2004,s__,99.8,0.4,3104874
JPB:bin_000164,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Cryptobacteroides,s__Cryptobacteroides sp900316045,97.75,0.41,3015531
JPB:bin_000165,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Cryptobacteroides,s__Cryptobacteroides sp900545245,96.42,0.46,2831401
JPB:bin_000166,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Agathobacter,s__Agathobacter sp900549895,99.83,0.01,2713691
JPB:bin_000167,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Faecousia,s__,97.75,2.19,3155833
JPB:bin_000169,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__RF16,s__,98.64,0.45,2830142
JPB:bin_000170,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Frisingicoccus,s__Frisingicoccus sp016298055,100,1.21,3060627
JPB:bin_000171,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Wujia,s__Wujia sp900553925,99.97,1.9,2931941
JPB:bin_000172,d__Bacteria,p__Bacillota_C,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Anaerovibrio,s__Anaerovibrio sp016302095,99.98,0.74,2942935
JPB:bin_000173,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium sp003449675,99.43,0.69,2975281
JPB:bin_000174,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__UMGS363,s__UMGS363 sp022769565,97.35,0.08,3162043
JPB:bin_000175,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__CALZKI01,s__CALZKI01 sp945787995,99.97,0,3016408
JPB:bin_000176,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Alloprevotella,s__Alloprevotella sp022784065,99.91,6.93,2953391
JPB:bin_000177,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Ruminococcus,s__Ruminococcus sp002438605,99.99,3.59,3001442
JPB:bin_000178,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__CAG-791,s__CAG-791 sp000431495,99.99,0.66,2792851
JPB:bin_000180,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Cryptobacteroides,s__,98.84,2.81,2886042
JPB:bin_000184,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Faecousia,s__,99,2.21,2861104
JPB:bin_000185,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__UMGS363,s__,100,0.13,2928368
JPB:bin_000186,d__Bacteria,p__Fibrobacterota,c__Fibrobacteria,o__Fibrobacterales,f__Fibrobacteraceae,g__Hallerella,s__Hallerella succinigenes,100,0.44,2932835
JPB:bin_000187,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Roseburia,s__Roseburia hominis,99.93,0.96,3351610
JPB:bin_000188,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Bariatricus,s__Bariatricus sp004560705,99.81,1.21,3327803
JPB:bin_000189,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Agathobacter,s__Agathobacter faecis,99.93,0.26,3503913
JPB:bin_000190,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Cryptobacteroides,s__Cryptobacteroides sp000433355,97.13,0.57,3218061
JPB:bin_000192,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__SIG301,s__,100,0.38,3301665
JPB:bin_000193,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__UBA4334,s__UBA4334 sp900316975,98.42,9.62,3348269
JPB:bin_000194,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__UBA3282,s__UBA3282 sp022781395,99.98,0.27,3191225
JPB:bin_000195,d__Bacteria,p__Bacillota_C,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__Selenomonas_C,s__Selenomonas_C sp900318215,100,0.26,3200449
JPB:bin_000196,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__VSOB01,s__VSOB01 sp022779165,98.65,1.99,3258438
JPB:bin_000197,d__Bacteria,p__Fibrobacterota,c__Fibrobacteria,o__Fibrobacterales,f__Fibrobacteraceae,g__Hallerella,s__Hallerella intestinalis,99.9,6.61,3386632
JPB:bin_000198,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Alloprevotella,s__Alloprevotella sp004555425,99.95,0.15,2985996
JPB:bin_000199,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Faecousia,s__Faecousia sp022786995,99.3,0.75,3080073
JPB:bin_000200,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__CAG-882,s__CAG-882 sp900545455,100,0.61,3329004
JPB:bin_000201,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,s__,100,0.68,3336716
JPB:bin_000202,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__Sodaliphilus,s__Sodaliphilus pleomorphus,98.99,0.53,3176675
JPB:bin_000203,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Alloprevotella,s__Alloprevotella sp945787885,96.32,1.63,3256831
JPB:bin_000204,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella sp900313215,94.08,0.27,3234092
JPB:bin_000205,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__UMGS1889,s__UMGS1889 sp945877315,97.68,2.45,3302531
JPB:bin_000206,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Dorea_A,s__Dorea_A sp022769185,99.78,2.58,3154394
JPB:bin_000207,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__UBA4372,s__UBA4372 sp900543815,95.22,0.01,3236722
JPB:bin_000208,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__CAG-115,s__CAG-115 sp022766785,98.47,0.35,3404042
JPB:bin_000209,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__Parabacteroides sp022775005,99.62,0.33,3559830
JPB:bin_000210,d__Bacteria,p__Myxococcota,c__Bradymonadia,o__UBA4248,f__UBA4248,g__UBA4248,s__UBA4248 sp945875805,94.23,2.86,3600956
JPB:bin_000211,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella sp022775985,99.99,0.09,3491563
JPB:bin_000212,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__HUN007,s__HUN007 sp945876405,100,2.5,3875663
JPB:bin_000213,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella sp002251245,100,0,3660265
JPB:bin_000214,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__CAG-353,s__CAG-353 sp945867875,100,1.12,3714821
JPB:bin_000215,d__Bacteria,p__Myxococcota,c__Bradymonadia,o__UBA4248,f__UBA4248,g__UBA4248,s__UBA4248 sp004554395,94.69,9.98,3702910
JPB:bin_000217,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Roseburia,s__,99.99,1.9,3558115
JPB:bin_000218,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__CAG-115,s__CAG-115 sp945873955,97.93,0.88,3586314
JPB:bin_000219,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella sp900322035,99.99,1.06,3614118
JPB:bin_000220,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia coli,100,0.09,5137433
JPB:bin_000221,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Nanosyncoccaceae,g__UBA2834,s__UBA2834 sp004561445,98.83,0.01,779304
JPB:bin_000222,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Amoebophilaceae,g__JALRAY01,s__,93.05,0.04,856013
JPB:bin_000223,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA1242,g__UMGS687,s__UMGS687 sp900544595,95.58,0.06,903046
JPB:bin_000224,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-826,g__Onthovivens,s__Onthovivens sp900540365,94.8,0.35,1134616
JPB:bin_000225,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-611,s__CAG-611 sp934098705,94.11,1.41,996233
JPB:bin_000226,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__UMGS1491,s__UMGS1491 sp934692675,96.69,0.01,1047271
JPB:bin_000227,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAKONZ01,s__CAKONZ01 sp934098525,96.08,0.19,969003
JPB:bin_000228,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-302,s__,96,0.85,1053597
JPB:bin_000229,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-611,s__CAG-611 sp900552235,98.89,0.25,982679
JPB:bin_000230,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA1242,g__RUG666,s__,96.98,0.35,1029709
JPB:bin_000231,d__Bacteria,p__Bacillota_A,c__Clostridia,o__TANB77,f__CAG-508,g__HGM13634,s__HGM13634 sp934162365,100,0.23,1151618
JPB:bin_000232,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAJOJO01,s__,93.7,0.55,1125436
JPB:bin_000233,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__RUG14121,s__RUG14121 sp902795845,93.04,0.19,1137113
JPB:bin_000234,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__UBA3830,f__,g__,s__,97.35,0.21,984502
JPB:bin_000236,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__UBA3830,f__,g__,s__,97,0.04,1012653
JPB:bin_000237,d__Bacteria,p__Chlamydiota,c__Chlamydiia,o__Chlamydiales,f__Chlamydiaceae,g__Chlamydia,s__Chlamydia suis,99.3,0.05,1065750
JPB:bin_000238,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__Coprosoma,s__Coprosoma sp934183155,94.49,1.44,1050925
JPB:bin_000239,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__UBA9783,g__UBA1183,s__,95.77,0.28,1119829
JPB:bin_000240,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-433,s__CAG-433 sp934141145,93.11,0.04,1105827
JPB:bin_000241,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__RUG591,s__RUG591 sp945871105,93.95,0.05,1264964
JPB:bin_000242,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__UMGS2016,s__UMGS2016 sp945872435,93.94,0.38,1193784
JPB:bin_000243,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-1000,s__CAG-1000 sp022774645,93.66,2.66,1299241
JPB:bin_000244,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__RGIG5669,s__RGIG5669 sp934699415,98.41,2.18,1291320
JPB:bin_000245,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-826,g__UBA3207,s__UBA3207 sp022777645,97.52,0.07,1156320
JPB:bin_000246,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__Aphodocola,s__Aphodocola sp022768045,95.59,3.69,1287073
JPB:bin_000247,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-1193,s__CAG-1193 sp900550145,93.4,8.55,1248645
JPB:bin_000248,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-433,s__,93.1,0.57,1157438
JPB:bin_000249,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-302,s__CAG-302 sp900543825,94.12,0.19,1314165
JPB:bin_000250,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__Scybalousia,s__Scybalousia sp934167875,96.57,0.02,1154748
JPB:bin_000251,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-1193,s__CAG-1193 sp934130375,93.24,2.57,1211965
JPB:bin_000252,d__Bacteria,p__Bacillota_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-793,s__,95.79,0.75,1230757
JPB:bin_000253,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAKOQQ01,s__CAKOQQ01 sp934101425,94.37,2.04,1106588
JPB:bin_000254,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__JALELF01,s__,93.26,0.65,1256430
JPB:bin_000255,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-1000,s__CAG-1000 sp000436975,93.41,4.19,1230091
JPB:bin_000256,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__Aphodocola,s__Aphodocola sp000434835,96.14,1.32,1168564
JPB:bin_000257,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAKOLN01,s__CAKOLN01 sp934101625,94.16,0.21,1143869
JPB:bin_000258,d__Bacteria,p__Bacillota_A,c__Clostridia,o__TANB77,f__CAG-508,g__HGM13634,s__HGM13634 sp900770385,100,0.28,1134874
JPB:bin_000259,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-710,s__CAG-710 sp000432595,94.24,1.16,1195380
